Ticker,trailingPE,priceToBook
AGRX11.SA,,
ALLD3.SA,6.140351,0.41263852
ALPK3.SA,,2.2741432
AMBP3.SA,,17.61934
AMOB3.SA,,
ARML3.SA,11.263159,1.1729242
ASAI3.SA,18.09836,2.7648385
ATMP3.SA,,0.31102264
AVLL3.SA,,-3.160622
BBGO11.SA,,
BHIA3.SA,,0.16474764
BLAU3.SA,9.106667,1.102413
BMLC11.SA,6.6728487,0.4685563
BMOB3.SA,12.715233,1.389995
BRBI11.SA,35.454548,2.0575047
CASH3.SA,,1.7181705
CBAV3.SA,15.321428,0.6524715
CJCT11.SA,2.8492754,
CMIN3.SA,7.5454545,2.6433122
CPTR11.SA,,
CRAA11.SA,,
CSED3.SA,10.113209,1.2546817
CURY3.SA,11.811245,7.517894
CXSE3.SA,10.946969,3.0889268
DEVA11.SA,27.90678,
DMVF3.SA,9.784313,0.28155503
DOTZ3.SA,,-0.40421888
EGAF11.SA,,
ELMD3.SA,40.789474,4.390313
ENJU3.SA,,0.78380144
ESPA3.SA,51.0,0.42394015
FGAA11.SA,,
GCRA11.SA,,
GGPS3.SA,15.33,2.8185327
GMAT3.SA,12.619047,1.7829108
GOLL3.SA,,
GRWA11.SA,,
HBSA3.SA,,3.0984788
HGAG11.SA,,
HODL11.SA,,
INTB3.SA,11.699248,1.7327396
ISAE4.SA,4.3086877,0.7523238
JALL3.SA,,0.5935117
JSLG3.SA,9.041667,1.0336615
KNCA11.SA,,
KRSA3.SA,,
LAVV3.SA,6.6249995,1.595341
LJQQ3.SA,,0.98841697
LSAG11.SA,,
MATD3.SA,,1.1087866
MBLY3.SA,,0.29281276
MELK3.SA,12.730769,0.62429273
MLAS3.SA,,0.30617824
MTRE3.SA,7.3214283,0.43492097
NGRD3.SA,,0.54656875
OPCT3.SA,,1.343409
ORVR3.SA,153.23529,5.5991397
PETZ3.SA,,1.1558336
PGMN3.SA,13.68,0.7769196
PLCA11.SA,,
PLPL3.SA,8.355556,3.738504
RECR11.SA,7.2872066,
RURA11.SA,,
RZAT11.SA,,
SEQL3.SA,,-0.03789132
SNAG11.SA,,
TFCO4.SA,17.634146,4.5187497
TTEN3.SA,9.183544,1.7398082
URPR11.SA,6.4503207,
VAMO3.SA,8.20339,2.0781453
VCRA11.SA,,
VGIA11.SA,,
VITT3.SA,9.270833,1.0560037
WEST3.SA,,0.21760932
ZAMP3.SA,,0.8954832
ALOS3.SA,13.47205,0.8085741
AMAR3.SA,,2.482143
AZZA3.SA,16.66129,1.0931506
CEAB3.SA,13.936,1.6041993
CEDO4.SA,1.7885773,0.56905127
CGRA4.SA,5.8808084,0.64096355
COGN3.SA,5.538462,0.41848302
CTKA4.SA,1.9524792,12.64214
CTNM3.SA,,-0.58109206
CVCB3.SA,,2.3356924
CYRE3.SA,5.4572654,1.0005877
DIRR3.SA,11.386059,3.3794858
ESTR3.SA,,-0.07053579
ESTR4.SA,,-0.052196484
EVEN3.SA,103.28571,0.7550125
EZTC3.SA,6.633663,0.5966959
GFSA3.SA,,0.08428946
GRND3.SA,6.8101263,1.233662
HBOR3.SA,6.6511626,0.25997636
HOOT4.SA,1.4820718,-1.4274751
JHSF3.SA,3.3694267,0.6154741
LEVE3.SA,,4.5536537
LREN3.SA,15.471073,1.841251
MGLU3.SA,15.847459,0.6059232
MNDL3.SA,221.1111,1.2323507
MOVI3.SA,15.285715,1.1430098
MRVE3.SA,,0.5537826
MYPK3.SA,8.72,0.45486158
PDGR3.SA,,-0.0010781671
RDNI3.SA,,0.47837737
RENT3.SA,24.933334,1.7891884
RSID3.SA,0.14089346,-0.041661583
SBFG3.SA,5.3333335,0.97147876
SEER3.SA,22.553192,1.0772358
SLED3.SA,,-0.08111386
SLED4.SA,,-0.040430587
TCSA3.SA,,0.22554928
VSTE3.SA,,0.6710964
WHRL4.SA,9.431373,2.638508
YDUQ3.SA,15.198198,1.4244702
AGRO3.SA,6.6032257,0.93972355
BEEF3.SA,,-4.4484634
BRFS3.SA,8.978541,2.0859506
CAML3.SA,8.754098,0.5267831
CRFB3.SA,0.0,0.0
JBSS3.SA,7.0578656,1.9989756
MDIA3.SA,14.145454,0.9833994
MRFG3.SA,12.492308,7.4132686
NTCO3.SA,,0.959369
PCAR3.SA,,0.5426494
SMTO3.SA,6.155063,0.9860583
VIVA3.SA,8.211539,2.3056154
BBAS3.SA,5.7244096,0.70461667
BBDC4.SA,9.976191,1.0397022
BBSE3.SA,7.9842696,5.9137816
BMGB4.SA,7.530612,0.5871122
BMIN3.SA,11.627907,0.6905362
BPAN4.SA,15.199999,1.3802211
BPAR3.SA,,
BRPR3.SA,,0.03274612
BRSR6.SA,3.9590445,0.45575988
BSLI3.SA,11.121621,0.88800174
CSUD3.SA,8.121622,1.5047572
GSHP3.SA,,-0.006518194
IGTI11.SA,136.07362,6.058454
IRBR3.SA,5.54186,0.7667187
ITSA4.SA,7.884058,1.3658047
ITUB4.SA,9.419437,1.9745872
LOGG3.SA,5.19802,0.49752423
LPSB3.SA,10.933332,0.9686946
MERC4.SA,15.833333,0.66991043
MULT3.SA,10.974999,2.2394152
NDIV11.SA,,
PDTC3.SA,,0.72211474
PSSA3.SA,12.359447,2.4851742
SANB11.SA,14.701858,1.8588556
SCAR3.SA,,0.6344941
SYNE3.SA,1.6748633,0.8568633
TRAD3.SA,,1.4589922
BRAP4.SA,5.4910393,0.6947846
BRKM5.SA,,-1.9096894
CSNA3.SA,,0.8260693
DEXP3.SA,6.3537416,1.0109318
DXCO3.SA,17.71875,0.66690195
EUCA4.SA,7.226054,0.65504307
FESA4.SA,15.644444,0.7124785
GOAU4.SA,8.336364,0.4710778
KLBN11.SA,27.291983,12.713179
LAND3.SA,94.45455,1.3699895
MMXM11.SA,,-0.01616877
NEMO3.SA,,
PMAM3.SA,,-0.022234509
SUZB3.SA,,1.7035484
UNIP6.SA,10.615665,2.4682364
VALE3.SA,6.759895,1.0823828
AFHI11.SA,12.52394,
AGXY3.SA,,-0.05023786
ALUG11.SA,,
BDOM11.SA,,
BIME11.SA,10.352941,
CACR11.SA,10.876097,
CRPG5.SA,,0.9226454
CXAG11.SA,8.62159,
CYCR11.SA,9.229167,
EQIR11.SA,13.542373,
GTLG11.SA,14.950934,
HSRE11.SA,10.220442,
HUSI11.SA,,
JGPX11.SA,,
JSAF11.SA,,
MORC11.SA,,
PORT3.SA,13.565892,2.8089888
PPLA11.SA,218.00002,363.33334
PURB11.SA,,
ROOF11.SA,13.964582,
RZAG11.SA,,
SMAB11.SA,,
SMFT3.SA,31.881578,2.6183271
SOJA3.SA,13.266666,1.1919736
SPXB11.SA,,
USTK11.SA,,
VTRU3.SA,3.6639676,0.46367458
WRLD11.SA,,
YDRO11.SA,,
OSXB3.SA,,-0.0009744736
PETR4.SA,8.942935,1.0715681
PRIO3.SA,3.2155998,1.3390121
RAIZ4.SA,,1.039953
RECV3.SA,8.243386,1.0223768
RPMG3.SA,,-0.028368795
SRNA3.SA,,1.3315032
UGPA3.SA,8.541872,1.2270025
VBBR3.SA,3.9113922,1.1726755
AALR3.SA,,0.5421157
BALM4.SA,5.297659,0.8490111
BIOM3.SA,,3.5371401
FLRY3.SA,11.713044,1.4045881
HYPE3.SA,21.80315,1.4903923
ODPV3.SA,11.281553,4.6461415
OFSA3.SA,11.078261,2.1556683
ONCO3.SA,,0.96746933
PNVL3.SA,14.093751,1.0788183
QUAL3.SA,184.0,0.39887276
RADL3.SA,20.169014,3.782356
VVEO3.SA,,0.19942538
IFCM3.SA,,-0.27027026
LVTC3.SA,7.56,0.36189565
LWSA3.SA,69.16667,0.88542783
POSI3.SA,220.5,0.38258
TOTS3.SA,32.374046,5.1770015
DESK3.SA,13.732395,0.8238276
FIQE3.SA,7.8367343,1.111111
OIBR3.SA,0.0038341295,-0.014350686
TELB3.SA,204.16667,0.7210548
TIMS3.SA,14.929579,2.0977638
VIVT3.SA,17.051428,1.4202085
AFLT3.SA,14.916667,1.7561932
ALUP11.SA,7.304098,1.179384
AURE3.SA,167.66667,0.7933129
BRAV3.SA,510.75003,0.8503996
CASN3.SA,176.1474,4.240429
CASN4.SA,0.0,0.0
CEBR6.SA,8.666666,1.3446246
CEED3.SA,,-0.16790868
CEGR3.SA,46.057144,14.295005
CGAS5.SA,10.000001,12.111599
CLSC4.SA,5.4938955,0.9882903
CMIG4.SA,4.432653,1.1129329
COCE5.SA,10.441767,0.391201
CPFE3.SA,8.717673,2.094878
CPLE6.SA,15.886076,1.4183997
EGIE3.SA,9.851942,2.7409008
GEPA4.SA,199.99998,2.0096016
NEOE3.SA,8.659722,0.89496535
RNEW4.SA,,0.060855266
SAPR11.SA,44.919655,4.562461
SBSP3.SA,8.270328,2.063975
TAEE11.SA,39.356323,1.6163143
